Subtipo,Nome,Bloco,Tipo,NumVias,Projeto,Rota,Tamanho,DataInstalacao
STRPRD,AUCHENTOROLY TERR,3500 BLK AUCHENTOROLY TERR,BIKE LANE,1,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,13.418.290.799.500.000,2012
STRPRD,GREENSPRING AVE,5900 BLK GREENSPRING AVE,BIKE LANE,2,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,35.063.530.913,2012
STRPRD,HILTON ROAD,3799 BLK HILTON ROAD,SHARROW,2,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,15.420.425.456.000.000,2012
STRPRD,HILTON ROAD,3800 BLK HILTON ROAD,SHARROW,2,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,17.256.375.599,2012
STRPRD,HILTON ROAD,3900 BLK HILTON ROAD,BIKE LANE,1,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,17.775.831.514.000.000,2012
STRPRD,HILTON ROAD,3900 BLK HILTON ROAD,SHARROW,2,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,10.328.915.852,2012
STRPRD,HILTON ROAD,3900 BLK HILTON ROAD,SHARROW,2,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,2.631.540.809,2012
STRPRD,HILTON ROAD,4000 BLK HILTON ROAD,BIKE LANE,1,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,12.143.002.674,2012
STRPRD,HILTON ROAD,4000 BLK HILTON ROAD,BIKE LANE,1,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,58.415.402.298.000.000,2012
STRPRD,E LOMBARD ST,97 BLK E LOMBARD ST,SHARED BUS BIKE,1,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,41.007.455.890.000.000,2009
STRPRD,E LOMBARD ST,98 BLK E LOMBARD ST,SHARED BUS BIKE,1,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,80.732.946.560.000.000,2010
STRPRD,E LOMBARD ST,99 BLK E LOMBARD ST,SHARED BUS BIKE,1,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,14.983.700.271.000.000,2009
STRPRD,E LOMBARD ST,100 BLK E LOMBARD ST,SHARED BUS BIKE,1,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,66.817.325.210.000.000,2009
STRPRD,E LOMBARD ST,100 BLK E LOMBARD ST,SHARED BUS BIKE,1,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,84.086.723.390.000.000,2009
STRPRD,E LOMBARD ST,100 BLK E LOMBARD ST,SHARED BUS BIKE,1,CHARM CITY CIRCULATOR,CHARM CITY CIRCULATOR,11.619.174.875,2009
