id,da aNo ificacao,ocupacaoSuspei oCli,ocupacaoSuspei oU i,ocupacaoConfirmadoCli,ocupacaoConfirmadoU i,ocupacaoCovidU i,ocupacaoCovidCli,ocupacaoHospi alarU i,ocupacaoHospi alarCli,saidaSuspei aObi os,saidaSuspei aAl as,saidaConfirmadaObi os,saidaConfirmadaAl as,origem,es adoNo ificacao,municipioNo ificacao,es ado,municipio,_crea ed_a,_upda ed_a,target
641508,2022-01-17 03:00:00,13,8,0,0,0,1,8,12,0,1,0,1,parse-cloud,San a Ca arina,Mafra,San a Ca arina,Mafra,2021-02-15 11:08:07.797,2022-01-17 21:56:42.351,0
1275198,2022-01-05 03:00:00,0,0,0,0,0,0,9,31,0,0,0,0,parse-cloud,Paraná,Umuarama,Paraná,Umuarama,2021-12-08 10:42:04.123,2022-01-05 14:17:35.799,0
1290474,2022-01-01 03:00:50,0,0,0,0,1,9,3,14,0,0,0,0,parse-cloud,São Paulo,Ilhabela,São Paulo,Ilhabela,2022-01-01 03:34:58.234,2022-01-01 03:34:58.234,0
1290489,2022-01-01 03:00:08,0,0,0,0,0,1,0,3,0,0,0,0,parse-cloud,São Paulo,Bernardino de Campos,São Paulo,Bernardino de Campos,2022-01-01 04:50:29.194,2022-01-01 04:50:29.194,0
1290490,2022-01-01 03:00:14,0,0,0,0,0,0,0,3,0,0,0,0,parse-cloud,São Paulo,Bas os,São Paulo,Bas os,2022-01-01 05:01:31.468,2022-01-01 05:01:31.468,0
1290494,2022-01-01 03:00:37,0,0,0,0,0,1,0,3,0,0,0,0,parse-cloud,San a Ca arina,Palmi os,San a Ca arina,Palmi os,2022-01-01 05:50:49.260,2022-01-01 05:50:49.260,0
1290495,2022-01-01 03:00:06,0,0,0,0,0,0,0,0,0,0,0,0,parse-cloud,Rio Grande do Sul,Es rela,Rio Grande do Sul,Es rela,2022-01-01 05:53:25.682,2022-01-01 05:53:25.682,0
1290496,2022-01-01 03:00:21,0,0,0,0,0,0,10,13,0,0,0,0,parse-cloud,São Paulo,Ilha Sol eira,São Paulo,Ilha Sol eira,2022-01-01 05:53:35.231,2022-01-01 05:53:35.231,0
1290498,2022-01-01 03:00:37,0,0,0,0,0,0,0,4,0,0,0,0,parse-cloud,São Paulo,Chavan es,São Paulo,Chavan es,2022-01-01 08:35:47.103,2022-01-01 08:35:47.103,0
1290499,2022-01-01 03:00:22,0,0,0,0,0,0,2,13,0,0,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 08:43:00.591,2022-01-01 08:43:00.591,0
1290500,2022-01-01 03:00:44,0,0,0,0,0,0,0,26,0,0,0,0,parse-cloud,Rio Grande do Sul,Campina das Missões,Rio Grande do Sul,Campina das Missões,2022-01-01 08:49:25.411,2022-01-01 08:49:25.411,0
1290501,2022-01-01 03:00:15,0,0,0,0,3,1,3,1,0,1,0,0,parse-cloud,Paraná,Palo ina,Paraná,Palo ina,2022-01-01 09:13:13.966,2022-01-01 09:13:13.966,0
1290503,2022-01-01 03:00:46,0,0,0,0,0,0,0,6,0,0,0,0,parse-cloud,São Paulo,San a Ri a do Passa Qua ro,São Paulo,San a Ri a do Passa Qua ro,2022-01-01 09:24:48.668,2022-01-01 09:24:48.668,0
1290504,2022-01-01 03:00:20,0,0,0,0,0,0,1,9,0,0,0,0,parse-cloud,Minas Gerais,Aiuruoca,Minas Gerais,Aiuruoca,2022-01-01 09:35:14.370,2022-01-01 09:35:14.370,0
1290505,2022-01-01 03:00:24,0,0,0,0,0,0,0,3,0,0,0,0,parse-cloud,Minas Gerais,Areado,Minas Gerais,Areado,2022-01-01 09:36:38.754,2022-01-01 09:36:38.754,0
1290510,2022-01-01 03:00:22,0,0,0,0,0,0,0,0,0,0,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 09:42:40.707,2022-01-01 09:42:40.707,0
1290514,2022-01-01 03:00:47,0,0,0,0,15,1,2,0,0,4,0,0,parse-cloud,Sergipe,Aracaju,Sergipe,Aracaju,2022-01-01 10:01:03.094,2022-01-01 10:01:03.094,0
1290515,2022-01-01 03:00:41,0,0,0,0,0,1,0,16,0,0,0,0,parse-cloud,San a Ca arina,Rio Negrinho,San a Ca arina,Rio Negrinho,2022-01-01 10:01:37.896,2022-01-01 10:01:37.896,0
1290516,2022-01-01 03:00:22,0,0,0,0,3,3,0,0,0,0,0,3,parse-cloud,Rio de Janeiro,Magé,Rio de Janeiro,Magé,2022-01-01 10:06:09.269,2022-01-01 10:06:09.269,0
1290517,2022-01-01 03:00:20,0,0,0,0,0,0,0,5,0,0,0,0,parse-cloud,San a Ca arina, reze de Maio,San a Ca arina, reze de Maio,2022-01-01 10:11:04.159,2022-01-01 10:11:04.159,0
1290518,2022-01-01 03:00:04,0,0,0,0,0,0,0,5,0,0,0,0,parse-cloud,Goiás,Sanclerlândia,Goiás,Sanclerlândia,2022-01-01 10:13:43.619,2022-01-01 10:13:43.619,0
1290519,2022-01-01 03:00:59,0,0,0,0,0,0,0,7,0,0,0,0,parse-cloud,Rio Grande do Sul,Boa Vis a do Buricá,Rio Grande do Sul,Boa Vis a do Buricá,2022-01-01 10:14:48.222,2022-01-01 10:14:48.222,0
1290520,2022-01-01 03:00:51,0,0,0,0,0,1,0,24,0,0,0,0,parse-cloud,San a Ca arina,Praia Grande,San a Ca arina,Praia Grande,2022-01-01 10:15:25.301,2022-01-01 10:15:25.301,0
